word_id,transcript_word,aligned_word,start_sec,end_sec,is_unk,has_timing,duration_sec,n_tokens,has_tokens,emb_l2norm_lastlayer
0,I,i,15.089999,15.169999,False,True,0.08000000000000007,1,True,27.08843
1,began,began,15.17,15.51,False,True,0.33999999999999986,1,True,28.042336
2,my,my,15.509999,15.699999,False,True,0.1899999999999995,1,True,26.844215
3,illustrious,<unk>,15.71,16.310000000000002,True,True,0.6000000000000014,1,True,29.847715
4,career,career,16.33,16.939999999999998,False,True,0.6099999999999994,1,True,30.333612
5,in,in,17.08,17.209999999999997,False,True,0.129999999999999,1,True,25.519423
6,journalism,journalism,17.209999,17.929999,False,True,0.7199999999999989,1,True,32.94064
7,in,in,18.469999,18.589999,False,True,0.11999999999999744,1,True,25.788914
8,the,the,18.59,18.68,False,True,0.08999999999999986,1,True,27.875916
9,Bronx,bronx,18.68,19.24,False,True,0.5599999999999987,1,True,35.112083
10,where,where,19.24,19.39,False,True,0.15000000000000213,1,True,28.506998
11,I,i,19.39,19.5,False,True,0.10999999999999943,1,True,36.286358
12,toiled,<unk>,19.5,20.09,True,True,0.5899999999999999,2,True,28.444948
13,as,as,20.36,20.49,False,True,0.129999999999999,1,True,34.29634
14,a,a,20.49,20.540000000000003,False,True,0.05000000000000426,1,True,36.45955
15,hard,hard,20.54,20.89,False,True,0.3500000000000014,1,True,37.215683
16,boiled,boiled,20.89,21.14,False,True,0.25,1,True,38.741943
17,reporter,reporter,21.14,21.91,False,True,0.7699999999999996,1,True,35.4925
18,for,for,22.09,22.24,False,True,0.14999999999999858,1,True,33.95375
19,the,the,22.24,22.360000000000003,False,True,0.12000000000000455,1,True,32.482723
20,Ram,ram,22.36,22.77,False,True,0.41000000000000014,1,True,43.144474
21,the,the,23.93,24.1,False,True,0.1700000000000017,1,True,41.279243
22,student,student,24.1,24.62,False,True,0.5199999999999996,1,True,36.305836
23,newspaper,newspaper,24.63,25.27,False,True,0.6400000000000006,1,True,33.491867
24,at,at,25.27,25.39,False,True,0.120000000000001,1,True,37.614235
25,Fordham,fordham,25.39,25.69,False,True,0.3000000000000007,2,True,34.507854
26,University,university,25.69,26.41,False,True,0.7199999999999989,1,True,35.391598
27,And,and,27.07,27.2,False,True,0.129999999999999,1,True,30.904932
28,one,one,27.2,27.33,False,True,0.129999999999999,1,True,31.964016
29,day,day,27.33,27.49,False,True,0.16000000000000014,1,True,31.815323
30,I’m,i'm,27.49,27.590000000000003,False,True,0.10000000000000497,4,True,24.938307
31,walking,walking,27.59,27.87,False,True,0.28000000000000114,1,True,32.749146
32,toward,toward,27.87,28.05,False,True,0.17999999999999972,1,True,33.544197
33,the,the,28.05,28.12,False,True,0.07000000000000028,1,True,31.42583
34,campus,campus,28.12,28.43,False,True,0.3099999999999987,1,True,36.717655
35,center,center,28.429999,28.769999,False,True,0.33999999999999986,1,True,34.095085
36,and,and,28.96,29.130000000000003,False,True,0.1700000000000017,1,True,33.892334
37,out,out,29.139999,29.329999,False,True,0.19000000000000128,1,True,39.171696
38,comes,comes,29.33,29.55,False,True,0.22000000000000242,1,True,30.762836
39,the,the,29.58,29.69,False,True,0.11000000000000298,1,True,30.422455
40,elusive,elusive,29.69,30.38,False,True,0.6899999999999977,1,True,29.48071
41,Dean,dean,30.61,31.0,False,True,0.39000000000000057,1,True,36.59783
42,McGowan,<unk>,31.0,31.66,True,True,0.6600000000000001,2,True,26.52234
43,architect,architect,32.299999,32.819999,False,True,0.5200000000000031,1,True,33.067947
44,of,of,32.82,32.910000000000004,False,True,0.09000000000000341,1,True,30.765963
45,a,a,32.91,33.0,False,True,0.09000000000000341,1,True,31.816824
46,policy,policy,33.009999,33.769999,False,True,0.759999999999998,1,True,33.57441
47,to,to,34.07,34.21,False,True,0.14000000000000057,1,True,32.053486
48,replace,replace,34.209999,34.729999,False,True,0.519999999999996,1,True,29.529737
49,Fordham’s,<unk>,34.730000000000004,35.190000000000005,True,True,0.46000000000000085,5,True,21.841585
50,traditionally,traditionally,35.199999,36.009999,False,True,0.8100000000000023,1,True,32.953075
51,working,working,36.41,37.04,False,True,0.6300000000000026,1,True,35.738728
52,to,to,37.09,37.150000000000006,False,True,0.060000000000002274,1,True,32.99524
53,middle,middle,37.16,37.36,False,True,0.20000000000000284,1,True,34.358704
54,class,class,37.369999,37.669999,False,True,0.29999999999999716,1,True,33.874104
55,students,students,37.67,38.28,False,True,0.6099999999999994,1,True,29.561216
56,with,with,38.74,39.120000000000005,False,True,0.38000000000000256,1,True,32.09146
57,wealthier,wealthier,39.23,39.85,False,True,0.6200000000000045,1,True,33.416492
58,more,more,39.85,40.04,False,True,0.18999999999999773,1,True,37.54161
59,prestigious,prestigious,40.04,40.68,False,True,0.6400000000000006,1,True,32.59942
60,ones,ones,40.68,41.26,False,True,0.5799999999999983,1,True,28.230227
61,So,so,42.21,42.38,False,True,0.1700000000000017,1,True,30.398275
62,I,i,42.38,42.46,False,True,0.0799999999999983,1,True,33.774323
63,whip,whip,42.46,42.65,False,True,0.18999999999999773,1,True,35.078392
64,out,out,42.65,42.76,False,True,0.10999999999999943,1,True,32.030945
65,my,my,42.76,42.88,False,True,0.12000000000000455,1,True,33.086952
66,notebook,notebook,42.88,43.2,False,True,0.3200000000000003,1,True,33.130524
67,and,and,43.2,43.3,False,True,0.09999999999999432,1,True,32.887035
68,I,i,43.3,43.37,False,True,0.07000000000000028,1,True,34.29239
69,go,go,43.37,43.5,False,True,0.13000000000000256,1,True,35.74194
70,up,up,43.5,43.61,False,True,0.10999999999999943,1,True,36.92622
71,to,to,43.61,43.72,False,True,0.10999999999999943,1,True,31.07917
72,him,him,43.72,43.82,False,True,0.10000000000000142,1,True,33.145596
73,and,and,43.82,43.93,False,True,0.10999999999999943,1,True,33.969254
74,I,i,43.93,44.01,False,True,0.0799999999999983,1,True,34.935028
75,say,say,44.01,44.18,False,True,0.1700000000000017,1,True,32.196663
76,Dean,dean,44.179999,44.539999,False,True,0.35999999999999943,1,True,30.784117
77,McGowan,<unk>,44.54,44.97,True,True,0.4299999999999997,2,True,25.051544
78,is,is,45.42,45.57,False,True,0.14999999999999858,1,True,33.36524
79,it,it,45.57,45.7,False,True,0.13000000000000256,1,True,34.41968
80,true,true,45.719999,46.099999,False,True,0.37999999999999545,1,True,32.71141
81,that,that,46.099999,46.249999,False,True,0.15000000000000568,1,True,30.737715
82,Fordham,fordham,46.25,46.52,False,True,0.2700000000000031,2,True,27.974714
83,University,university,46.52,47.02,False,True,0.5,1,True,31.377964
84,plans,plans,47.02,47.29,False,True,0.269999999999996,1,True,32.884766
85,to,to,47.29,47.41,False,True,0.11999999999999744,1,True,35.33357
86,raise,raise,47.41,47.72,False,True,0.3100000000000023,1,True,35.329918
87,tuition,tuition,47.719999,48.129999,False,True,0.4099999999999966,1,True,35.153908
